Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Trail Running,2024-08-05 06:38:54,false,"Howard County - Fartlek","7.78","786","01:06:40","156","176","169","193","8:34","6:16","1,430","1,352","1.11","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:00:11.0","22","89.6","01:06:38","01:08:18","329","609"
Trail Running,2024-08-04 07:26:54,false,"Howard County Trail Running","5.00","591","00:48:17","160","174","167","181","9:39","8:11","374","341","1.00","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:00:02.0","6","89.6","00:48:12","00:48:17","364","537"
Trail Running,2024-08-03 07:15:55,false,"Howard County - Speed Workout","8.05","748","01:07:15","152","180","173","191","8:22","6:16","1,184","1,093","1.11","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:00:36.2","34","87.8","01:07:14","01:07:37","235","599"
Trail Running,2024-08-02 07:06:12,false,"Howard County Trail Running","9.06","1,041","01:23:26","161","183","169","183","9:12","7:44","1,709","1,686","1.03","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","86.0","No","00:00:31.4","10","91.4","01:23:20","01:28:07","260","507"
Trail Running,2024-08-01 06:39:25,false,"Howard County Trail Running","6.27","732","00:56:22","165","187","167","182","9:00","7:27","292","292","1.07","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:02:12.3","7","87.8","00:56:17","00:59:34","312","488"
Trail Running,2024-07-31 06:28:17,false,"Howard County Trail Running","6.00","632","00:50:32","162","186","172","193","8:25","6:13","387","459","1.11","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:00:01.9","7","89.6","00:50:12","00:53:50","282","488"
Trail Running,2024-07-30 06:26:12,false,"Howard County Trail Running","6.21","663","00:53:36","158","177","171","193","8:38","6:09","459","459","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:01:35.2","7","91.4","00:53:32","00:54:28","305","486"
Trail Running,2024-07-29 12:25:52,false,"Howard County Trail Running","6.06","702","00:54:21","163","183","164","179","8:58","7:27","341","374","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","86.0","No","00:00:34.8","7","91.4","00:54:19","00:57:02","358","542"
Trail Running,2024-07-28 08:42:36,false,"Howard County Trail Running","7.41","780","01:03:28","158","178","174","187","8:34","6:52","358","344","1.08","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:03:08.1","8","86.0","01:03:23","01:05:37","269","495"
Trail Running,2024-07-27 10:15:49,false,"Columbia Trail Running","2.09","231","00:20:08","152","163","167","183","9:37","8:10","112","30","1.00","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:00:48.9","3","86.0","00:20:08","00:20:08","343","434"
Trail Running,2024-07-27 08:48:19,false,"Howard County Trail Running","10.01","1,087","01:21:52","169","195","175","191","8:11","6:35","390","482","1.13","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:00:02.4","11","87.8","01:21:49","01:21:52","264","499"
Trail Running,2024-07-26 05:49:08,false,"Howard County Trail Running","8.51","971","01:12:39","168","184","172","184","8:32","6:36","358","410","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","73.4","No","00:03:39.4","9","89.6","01:12:37","01:12:48","278","477"
