Message,Field 1,Value 1,Field 2,Value 2,Field 3,Value 3,Field 4,Value 4,Field 5,Value 5,Field 6,Value 6,Field 9,Value 9
record,timestamp,1,position_lat,1,position_long,1.0,distance,1.0,enhanced_speed,1,enhanced_altitude,1.0,cadence,1.0
record,timestamp,1092223151,position_lat,468103672,position_long,-916484792.0,distance,2.25,enhanced_speed,2.463,enhanced_altitude,130.20000000000005,cadence,80.0
record,timestamp,1092223154,position_lat,468103255,position_long,-916485512.0,distance,9.35,enhanced_speed,2.809,enhanced_altitude,130.0,cadence,80.0
record,timestamp,1092223155,position_lat,468103025,position_long,-916485564.0,distance,12.18,enhanced_speed,2.827,enhanced_altitude,129.79999999999995,cadence,82.0
record,timestamp,1092223156,position_lat,468102780,position_long,-916485534.0,distance,12.18,enhanced_speed,2.827,enhanced_altitude,129.60000000000002,cadence,82.0
record,timestamp,1092223157,position_lat,468102563,position_long,-916485385.0,distance,14.46,enhanced_speed,2.529,enhanced_altitude,129.39999999999998,cadence,82.0
record,timestamp,1092223158,position_lat,468102327,position_long,-916485207.0,distance,16.97,enhanced_speed,2.529,enhanced_altitude,129.39999999999998,cadence,83.0
record,timestamp,1092223159,position_lat,468102122,position_long,-916484976.0,distance,19.48,enhanced_speed,2.603,enhanced_altitude,129.39999999999998,cadence,83.0
record,timestamp,1092223160,position_lat,468101863,position_long,-916484691.0,distance,22.64,enhanced_speed,2.65,enhanced_altitude,129.20000000000005,cadence,83.0
record,timestamp,1092223163,position_lat,468101168,position_long,-916483967.0,distance,30.86,enhanced_speed,2.669,enhanced_altitude,129.20000000000005,cadence,81.0
record,timestamp,1092223167,position_lat,468100458,position_long,-916483023.0,distance,40.25,enhanced_speed,2.585,enhanced_altitude,129.39999999999998,cadence,81.0
record,timestamp,1092223169,position_lat,468100098,position_long,-916482451.0,distance,45.46,enhanced_speed,2.557,enhanced_altitude,129.39999999999998,cadence,81.0
record,timestamp,1092223172,position_lat,468099536,position_long,-916481755.0,distance,52.61,enhanced_speed,2.538,enhanced_altitude,129.20000000000005,cadence,82.0
record,timestamp,1092223176,position_lat,468098940,position_long,-916480723.0,distance,61.8,enhanced_speed,2.473,enhanced_altitude,129.20000000000005,cadence,82.0
record,timestamp,1092223182,position_lat,468097879,position_long,-916478820.0,distance,78.72,enhanced_speed,2.501,enhanced_altitude,128.60000000000002,cadence,80.0
record,timestamp,1092223189,position_lat,468097275,position_long,-916475957.0,distance,100.0,enhanced_speed,2.641,enhanced_altitude,128.60000000000002,cadence,82.0
